Entity,Code,Year,LGBT+ employment discrimination (historical)
Afghanistan,AFG,1950,No protections
Afghanistan,AFG,1951,No protections
Afghanistan,AFG,1952,No protections
Afghanistan,AFG,1953,No protections
Afghanistan,AFG,1954,No protections
Afghanistan,AFG,1955,No protections
Afghanistan,AFG,1956,No protections
Afghanistan,AFG,1957,No protections
Afghanistan,AFG,1958,No protections
Afghanistan,AFG,1959,No protections
Afghanistan,AFG,1960,No protections
Afghanistan,AFG,1961,No protections
Afghanistan,AFG,1962,No protections
Afghanistan,AFG,1963,No protections
Afghanistan,AFG,1964,No protections
Afghanistan,AFG,1965,No protections
Afghanistan,AFG,1966,No protections
Afghanistan,AFG,1967,No protections
Afghanistan,AFG,1968,No protections
Afghanistan,AFG,1969,No protections
Afghanistan,AFG,1970,No protections
Afghanistan,AFG,1971,No protections
Afghanistan,AFG,1972,No protections
Afghanistan,AFG,1973,No protections
Afghanistan,AFG,1974,No protections
Afghanistan,AFG,1975,No protections
Afghanistan,AFG,1976,No protections
Afghanistan,AFG,1977,No protections
Afghanistan,AFG,1978,No protections
Afghanistan,AFG,1979,No protections
Afghanistan,AFG,1980,No protections
Afghanistan,AFG,1981,No protections
Afghanistan,AFG,1982,No protections
Afghanistan,AFG,1983,No protections
Afghanistan,AFG,1984,No protections
Afghanistan,AFG,1985,No protections
Afghanistan,AFG,1986,No protections
Afghanistan,AFG,1987,No protections
Afghanistan,AFG,1988,No protections
Afghanistan,AFG,1989,No protections
Afghanistan,AFG,1990,No protections
Afghanistan,AFG,1991,No protections
Afghanistan,AFG,1992,No protections
Afghanistan,AFG,1993,No protections
Afghanistan,AFG,1994,No protections
Afghanistan,AFG,1995,No protections
Afghanistan,AFG,1996,No protections
Afghanistan,AFG,1997,No protections
Afghanistan,AFG,1998,No protections
Afghanistan,AFG,1999,No protections
Afghanistan,AFG,2000,No protections
Afghanistan,AFG,2001,No protections
Afghanistan,AFG,2002,No protections
Afghanistan,AFG,2003,No protections
Afghanistan,AFG,2004,No protections
Afghanistan,AFG,2005,No protections
Afghanistan,AFG,2006,No protections
Afghanistan,AFG,2007,No protections
Afghanistan,AFG,2008,No protections
Afghanistan,AFG,2009,No protections
Afghanistan,AFG,2010,No protections
Afghanistan,AFG,2011,No protections
Afghanistan,AFG,2012,No protections
Afghanistan,AFG,2013,No protections
Afghanistan,AFG,2014,No protections
Afghanistan,AFG,2015,No protections
Afghanistan,AFG,2016,No protections
Afghanistan,AFG,2017,No protections
Afghanistan,AFG,2018,No protections
Afghanistan,AFG,2019,No protections
Afghanistan,AFG,2020,No protections
Afghanistan,AFG,2021,No protections
Afghanistan,AFG,2022,No protections
Afghanistan,AFG,2023,No protections
Afghanistan,AFG,2024,No protections
Albania,ALB,2010,Sexual orientation and gender identity
Albania,ALB,2011,Sexual orientation and gender identity
Albania,ALB,2012,Sexual orientation and gender identity
Albania,ALB,2013,Sexual orientation and gender identity
Albania,ALB,2014,Sexual orientation and gender identity
Albania,ALB,2015,Sexual orientation and gender identity
Albania,ALB,2016,Sexual orientation and gender identity
Albania,ALB,2017,Sexual orientation and gender identity
Albania,ALB,2018,Sexual orientation and gender identity
Albania,ALB,2019,Sexual orientation and gender identity
Albania,ALB,2020,Sexual orientation and gender identity
Albania,ALB,2021,Sexual orientation and gender identity
Albania,ALB,2022,Sexual orientation and gender identity
Albania,ALB,2023,Sexual orientation and gender identity
Albania,ALB,2024,Sexual orientation and gender identity
Algeria,DZA,2024,No protections
Andorra,AND,2005,Sexual orientation only
Andorra,AND,2006,Sexual orientation only
Andorra,AND,2007,Sexual orientation only
Andorra,AND,2008,Sexual orientation only
Andorra,AND,2009,Sexual orientation only
Andorra,AND,2010,Sexual orientation only
Andorra,AND,2011,Sexual orientation only
Andorra,AND,2012,Sexual orientation only
Andorra,AND,2013,Sexual orientation only
Andorra,AND,2014,Sexual orientation only
Andorra,AND,2015,Sexual orientation only
Andorra,AND,2016,Sexual orientation only
Andorra,AND,2017,Sexual orientation only
Andorra,AND,2018,Sexual orientation only
Andorra,AND,2019,Sexual orientation and gender identity
Andorra,AND,2020,Sexual orientation and gender identity
Andorra,AND,2021,Sexual orientation and gender identity
Andorra,AND,2022,Sexual orientation and gender identity
Andorra,AND,2023,Sexual orientation and gender identity
Andorra,AND,2024,Sexual orientation and gender identity
Angola,AGO,2021,Sexual orientation and gender identity
Angola,AGO,2022,Sexual orientation and gender identity
Angola,AGO,2023,Sexual orientation and gender identity
Angola,AGO,2024,Sexual orientation and gender identity
Argentina,ARG,2021,Gender identity only
Argentina,ARG,2022,Gender identity only
Argentina,ARG,2023,Gender identity only
Argentina,ARG,2024,Gender identity only
Armenia,ARM,2024,No protections
Australia,AUS,2013,Sexual orientation and gender identity
Australia,AUS,2014,Sexual orientation and gender identity
Australia,AUS,2015,Sexual orientation and gender identity
Australia,AUS,2016,Sexual orientation and gender identity
Australia,AUS,2017,Sexual orientation and gender identity
Australia,AUS,2018,Sexual orientation and gender identity
Australia,AUS,2019,Sexual orientation and gender identity
Australia,AUS,2020,Sexual orientation and gender identity
Australia,AUS,2021,Sexual orientation and gender identity
Australia,AUS,2022,Sexual orientation and gender identity
Australia,AUS,2023,Sexual orientation and gender identity
Australia,AUS,2024,Sexual orientation and gender identity
Austria,AUT,2004,Sexual orientation and gender identity
Austria,AUT,2005,Sexual orientation and gender identity
Austria,AUT,2006,Sexual orientation and gender identity
Austria,AUT,2007,Sexual orientation and gender identity
Austria,AUT,2008,Sexual orientation and gender identity
Austria,AUT,2009,Sexual orientation and gender identity
Austria,AUT,2010,Sexual orientation and gender identity
Austria,AUT,2011,Sexual orientation and gender identity
Austria,AUT,2012,Sexual orientation and gender identity
Austria,AUT,2013,Sexual orientation and gender identity
Austria,AUT,2014,Sexual orientation and gender identity
Austria,AUT,2015,Sexual orientation and gender identity
Austria,AUT,2016,Sexual orientation and gender identity
Austria,AUT,2017,Sexual orientation and gender identity
Austria,AUT,2018,Sexual orientation and gender identity
Austria,AUT,2019,Sexual orientation and gender identity
Austria,AUT,2020,Sexual orientation and gender identity
Austria,AUT,2021,Sexual orientation and gender identity
Austria,AUT,2022,Sexual orientation and gender identity
Austria,AUT,2023,Sexual orientation and gender identity
Austria,AUT,2024,Sexual orientation and gender identity
Azerbaijan,AZE,2024,No protections
Bahamas,BHS,2024,No protections
Bahrain,BHR,1976,No protections
Bahrain,BHR,1977,No protections
Bahrain,BHR,1978,No protections
Bahrain,BHR,1979,No protections
Bahrain,BHR,1980,No protections
Bahrain,BHR,1981,No protections
Bahrain,BHR,1982,No protections
Bahrain,BHR,1983,No protections
Bahrain,BHR,1984,No protections
Bahrain,BHR,1985,No protections
Bahrain,BHR,1986,No protections
Bahrain,BHR,1987,No protections
Bahrain,BHR,1988,No protections
Bahrain,BHR,1989,No protections
Bahrain,BHR,1990,No protections
Bahrain,BHR,1991,No protections
Bahrain,BHR,1992,No protections
Bahrain,BHR,1993,No protections
Bahrain,BHR,1994,No protections
Bahrain,BHR,1995,No protections
Bahrain,BHR,1996,No protections
Bahrain,BHR,1997,No protections
Bahrain,BHR,1998,No protections
Bahrain,BHR,1999,No protections
Bahrain,BHR,2000,No protections
Bahrain,BHR,2001,No protections
Bahrain,BHR,2002,No protections
Bahrain,BHR,2003,No protections
Bahrain,BHR,2004,No protections
Bahrain,BHR,2005,No protections
Bahrain,BHR,2006,No protections
Bahrain,BHR,2007,No protections
Bahrain,BHR,2008,No protections
Bahrain,BHR,2009,No protections
Bahrain,BHR,2010,No protections
Bahrain,BHR,2011,No protections
Bahrain,BHR,2012,No protections
Bahrain,BHR,2013,No protections
Bahrain,BHR,2014,No protections
Bahrain,BHR,2015,No protections
Bahrain,BHR,2016,No protections
Bahrain,BHR,2017,No protections
Bahrain,BHR,2018,No protections
Bahrain,BHR,2019,No protections
Bahrain,BHR,2020,No protections
Bahrain,BHR,2021,No protections
Bahrain,BHR,2022,No protections
Bahrain,BHR,2023,No protections
Bahrain,BHR,2024,No protections
Bangladesh,BGD,2024,No protections
Barbados,BRB,2020,Sexual orientation only
Barbados,BRB,2021,Sexual orientation only
Barbados,BRB,2022,Sexual orientation only
Barbados,BRB,2023,Sexual orientation only
Barbados,BRB,2024,Sexual orientation only
Belarus,BLR,1991,No protections
Belarus,BLR,1992,No protections
Belarus,BLR,1993,No protections
Belarus,BLR,1994,No protections
Belarus,BLR,1995,No protections
Belarus,BLR,1996,No protections
Belarus,BLR,1997,No protections
Belarus,BLR,1998,No protections
Belarus,BLR,1999,No protections
Belarus,BLR,2000,No protections
Belarus,BLR,2001,No protections
Belarus,BLR,2002,No protections
Belarus,BLR,2003,No protections
Belarus,BLR,2004,No protections
Belarus,BLR,2005,No protections
Belarus,BLR,2006,No protections
Belarus,BLR,2007,No protections
Belarus,BLR,2008,No protections
Belarus,BLR,2009,No protections
Belarus,BLR,2010,No protections
Belarus,BLR,2011,No protections
Belarus,BLR,2012,No protections
Belarus,BLR,2013,No protections
Belarus,BLR,2014,No protections
Belarus,BLR,2015,No protections
Belarus,BLR,2016,No protections
Belarus,BLR,2017,No protections
Belarus,BLR,2024,No protections
Belgium,BEL,2003,Sexual orientation and gender identity
Belgium,BEL,2004,Sexual orientation and gender identity
Belgium,BEL,2005,Sexual orientation and gender identity
Belgium,BEL,2006,Sexual orientation and gender identity
Belgium,BEL,2007,Sexual orientation and gender identity
Belgium,BEL,2008,Sexual orientation and gender identity
Belgium,BEL,2009,Sexual orientation and gender identity
Belgium,BEL,2010,Sexual orientation and gender identity
Belgium,BEL,2011,Sexual orientation and gender identity
Belgium,BEL,2012,Sexual orientation and gender identity
Belgium,BEL,2013,Sexual orientation and gender identity
Belgium,BEL,2014,Sexual orientation and gender identity
Belgium,BEL,2015,Sexual orientation and gender identity
Belgium,BEL,2016,Sexual orientation and gender identity
Belgium,BEL,2017,Sexual orientation and gender identity
Belgium,BEL,2018,Sexual orientation and gender identity
Belgium,BEL,2019,Sexual orientation and gender identity
Belgium,BEL,2020,Sexual orientation and gender identity
Belgium,BEL,2021,Sexual orientation and gender identity
Belgium,BEL,2022,Sexual orientation and gender identity
Belgium,BEL,2023,Sexual orientation and gender identity
Belgium,BEL,2024,Sexual orientation and gender identity
Belize,BLZ,2024,Sexual orientation only
Benin,BEN,1950,No protections
Benin,BEN,1951,No protections
Benin,BEN,1952,No protections
Benin,BEN,1953,No protections
Benin,BEN,1954,No protections
Benin,BEN,1955,No protections
Benin,BEN,1956,No protections
Benin,BEN,1957,No protections
Benin,BEN,1958,No protections
Benin,BEN,1959,No protections
Benin,BEN,1960,No protections
Benin,BEN,1961,No protections
Benin,BEN,1962,No protections
Benin,BEN,1963,No protections
Benin,BEN,1964,No protections
Benin,BEN,1965,No protections
Benin,BEN,1966,No protections
Benin,BEN,1967,No protections
Benin,BEN,1968,No protections
Benin,BEN,1969,No protections
Benin,BEN,1970,No protections
Benin,BEN,1971,No protections
Benin,BEN,1972,No protections
Benin,BEN,1973,No protections
Benin,BEN,1974,No protections
Benin,BEN,1975,No protections
Benin,BEN,1976,No protections
Benin,BEN,1977,No protections
Benin,BEN,1978,No protections
Benin,BEN,1979,No protections
Benin,BEN,1980,No protections
Benin,BEN,1981,No protections
Benin,BEN,1982,No protections
Benin,BEN,1983,No protections
Benin,BEN,1984,No protections
Benin,BEN,1985,No protections
Benin,BEN,1986,No protections
Benin,BEN,1987,No protections
Benin,BEN,1988,No protections
Benin,BEN,1989,No protections
Benin,BEN,1990,No protections
Benin,BEN,1991,No protections
Benin,BEN,1992,No protections
Benin,BEN,1993,No protections
Benin,BEN,1994,No protections
Benin,BEN,1995,No protections
Benin,BEN,1996,No protections
Benin,BEN,1997,No protections
Benin,BEN,1998,No protections
Benin,BEN,1999,No protections
Benin,BEN,2000,No protections
Benin,BEN,2001,No protections
Benin,BEN,2002,No protections
Benin,BEN,2003,No protections
Benin,BEN,2004,No protections
Benin,BEN,2005,No protections
Benin,BEN,2006,No protections
Benin,BEN,2007,No protections
Benin,BEN,2008,No protections
Benin,BEN,2009,No protections
Benin,BEN,2010,No protections
Benin,BEN,2011,No protections
Benin,BEN,2012,No protections
Benin,BEN,2013,No protections
Benin,BEN,2014,No protections
Benin,BEN,2015,No protections
Benin,BEN,2016,No protections
Benin,BEN,2017,No protections
Benin,BEN,2018,No protections
Benin,BEN,2019,No protections
Benin,BEN,2020,No protections
Benin,BEN,2021,No protections
Benin,BEN,2022,No protections
Benin,BEN,2023,No protections
Benin,BEN,2024,No protections
Bhutan,BTN,2024,No protections
Bolivia,BOL,2010,Sexual orientation and gender identity
Bolivia,BOL,2011,Sexual orientation and gender identity
Bolivia,BOL,2012,Sexual orientation and gender identity
Bolivia,BOL,2013,Sexual orientation and gender identity
