Entity,Code,Year,Homosexual couples are as good parents as other couples: Agree (aggregate),935623-annotations
Albania,ALB,2022,9.561766,
Andorra,AND,2022,50.29881,
Argentina,ARG,2022,37.12041,
Armenia,ARM,2022,5.189713,
Australia,AUS,2022,54.7227,
Austria,AUT,2022,53.5574,
Azerbaijan,AZE,2022,2.112191,
Bangladesh,BGD,2022,6.416667,
Belarus,BLR,2022,10.85336,
Bolivia,BOL,2022,31.20464,
Bosnia and Herzegovina,BIH,2022,12.14372,
Brazil,BRA,2022,51.78767,
Bulgaria,BGR,2022,10.07612,
Canada,CAN,2022,72.27812,
Chile,CHL,2022,35.86007,
China,CHN,2022,11.49863,
Colombia,COL,2022,31.57895,
Croatia,HRV,2022,20.57422,
Cyprus,CYP,2022,14.12932,
Czechia,CZE,2022,38.64878,
Denmark,DNK,2022,66.42923,
Ecuador,ECU,2022,28.27356,
Estonia,EST,2022,23.24793,
Ethiopia,ETH,2022,3.670473,
Finland,FIN,2022,52.53857,
France,FRA,2022,62.69303,
Georgia,GEO,2022,3.378015,
Germany,DEU,2022,61.29853,
Greece,GRC,2022,8.706993,
Guatemala,GTM,2022,24.89829,
Hong Kong,HKG,2022,50.59646,
Hungary,HUN,2022,22.87886,
Iceland,ISL,2022,82.37072,
Indonesia,IDN,2022,9.228207,
Italy,ITA,2022,26.86526,
Japan,JPN,2022,43.82853,
Kazakhstan,KAZ,2022,15.67398,
Kenya,KEN,2022,15.50079,
Kyrgyzstan,KGZ,2022,12.83361,
Latvia,LVA,2022,13.24835,
Libya,LBY,2022,17.00337,
Lithuania,LTU,2022,7.829278,
Macao,MAC,2022,47.20314,
Malaysia,MYS,2022,20.9444,
Maldives,MDV,2022,8.277189,
Mexico,MEX,2022,41.68393,
Mongolia,MNG,2022,29.17985,
Montenegro,MNE,2022,10.61684,
Myanmar,MMR,2022,36.16667,
Netherlands,NLD,2022,67.46505,
New Zealand,NZL,2022,54.01961,
Nicaragua,NIC,2022,32.33333,
Nigeria,NGA,2022,8.872359,
North Macedonia,MKD,2022,8.602964,
Northern Ireland,,2022,60.60683,
Norway,NOR,2022,70.14712,
Pakistan,PAK,2022,43.5589,
Peru,PER,2022,16.86267,
Philippines,PHL,2022,37.32769,
Poland,POL,2022,11.83247,
Portugal,PRT,2022,48.87976,
Puerto Rico,PRI,2022,66.28217,
Romania,ROU,2022,10.15698,
Russia,RUS,2022,11.3136,
Serbia,SRB,2022,6.447963,
Singapore,SGP,2022,28.34368,
Slovakia,SVK,2022,17.13111,
Slovenia,SVN,2022,35.13683,
South Korea,KOR,2022,22.6506,
Spain,ESP,2022,60.04278,
Sweden,SWE,2022,74.57259,
Switzerland,CHE,2022,49.0294,
Taiwan,TWN,2022,51.16692,
Thailand,THA,2022,42.74002,
Turkey,TUR,2022,16.60456,
Ukraine,UKR,2022,8.357537,
United Kingdom,GBR,2022,65.40556,"England, Scotland, and Wales"
United States,USA,2022,52.77611,
Uruguay,URY,2022,70.76356,
Venezuela,VEN,2022,32.10084,
Vietnam,VNM,2022,66.75,
Zimbabwe,ZWE,2022,7.990115,
